Spine Id;Dendrite Segment;Distance to dendrite;Spine Position X;Spine Position Y;Spine Position Z;Spine Volume;Spine Area;Spine Length;Spine Mean Diameter;Spine Max Diameter;Spine Min Diameter;Spine Neck Length;Spine Neck Mean Diameter;Spine Neck Max Diameter;Spine Neck Min Diameter;Spine Neck Volume;Spine Orientation Angle;Spine Straightness;Spine Branchings
Apical-723000003;1093;0,11669;678,22;726,09;76,4;0,09;0,91;0,61;0,65;0,89;0,48;0;0;0;0;0,04;70,3;1;0
Apical-723000004;1083;0,554874;675,68;725,42;77,07;0,32;2,43;1,3;0,67;1,05;0,48;0,29;0,51;0,53;0,48;0,16;-120,31;1;0
Apical-723000005;1074;0,785555;674,04;726,47;77,42;0,37;2,99;1,83;0,58;1,01;0,4;0,78;0,43;0,51;0,4;0,2;-117,28;0,93;0
Apical-723000006;1065;0,519798;673,06;729,04;78;0,26;2,27;1,42;0,62;1,14;0,4;0,28;0,41;0,42;0,4;0,1;52,48;0,93;0
Apical-723000007;1060;0,475872;671,81;728,95;78,84;0,12;1,2;0,86;0,7;1,47;0,42;0,29;0,42;0,42;0,42;0,06;-114,54;0,96;0
Apical-723000008;1053;0,324421;670,73;730,54;79,4;0,19;1,65;1,08;0,6;0,9;0,44;0,4;0,5;0,57;0,44;0,13;41,93;0,93;0
Apical-723000009;1044;0,202705;668,95;731,25;80,2;0,07;0,82;0,67;0,82;1,28;0,4;0;0;0;0;0,04;-132,32;0,98;0
Apical-723000010;1027;0,341665;666,54;734,2;81,8;0,43;2,57;1,19;0,89;1,38;0,48;0,41;0,8;0,82;0,77;0,37;-18,56;0,98;0
Apical-723000011;1011;1,73126;663,14;735,77;84,81;0,99;8,22;5,34;0,53;0,91;0,4;3,95;0,46;0,57;0,4;0,83;-146,45;0,53;0
Apical-723000012;1003;0,32551;662,94;738,25;83,55;0,1;1,05;0,84;0,72;1,38;0,4;0;0,42;0,42;0,42;0,07;155,13;0,92;0
Apical-723000013;1000;0,257965;662,86;738,74;84,69;0,32;1,99;0,9;0,98;1,49;0,48;0;0,97;0,97;0,97;0,26;-92,14;1;0
Apical-723000014;977;0,18896;660,59;742,81;87,15;0,08;0,91;0,74;0,77;1,12;0,4;0;0;0;0;0,05;25,55;0,99;0
Apical-723000015;959;0,150018;658,33;746,22;87,17;0,06;0,7;0,6;0,75;1,07;0,4;0;0;0;0;0,03;-92,61;0,95;0
Apical-723000016;912;0,520477;653,83;756,36;87,13;0,44;3,04;1,33;0,74;1,5;0,4;0,25;0,41;0,42;0,4;0;53,22;0,98;0
Apical-723000017;898;0,22555;650,8;758,13;85,91;0,1;0,96;0,64;0,94;1,5;0,48;0;0;0;0;0,04;-147,04;1;0
Apical-723000018;898;0,381646;650,99;757,95;85,42;0,35;2,53;1,29;0,9;1,49;0,58;0;0,58;0,58;0,58;0,19;-34,72;0,97;0
Apical-723000019;889;0,681005;649,47;758,5;83,13;0,47;3,58;2,09;0,8;1,61;0,46;0,61;0,5;0,53;0,46;0,3;-72,37;0,94;0
Apical-723000020;886;0,266699;648,57;759,14;83,19;0,06;0,65;0,55;0,9;1,79;0,4;0;0;0;0;0,02;78,49;0,97;0
Apical-723000021;884;0,487557;648,06;758,6;83,15;0,13;1,13;0,69;0,81;1,84;0,48;0;0,58;0,58;0,58;0,08;-100,65;0,99;0
Apical-723000022;875;0,745752;645,85;758,48;83,26;0,16;1,68;1,34;0,6;1,47;0,4;0,84;0,41;0,42;0,4;0,13;-103,08;0,94;0
Apical-723000023;876;0,62533;645,92;758,88;83,37;0,22;1,96;1,39;0,73;1,47;0,4;0,41;0,47;0,51;0,42;0,18;-133,82;0,97;0
Apical-723000024;877;0,462018;646,18;758,97;83,31;0,43;2,88;1,4;0,88;1,47;0,63;0,37;0,64;0,65;0,63;0,27;2,69;1;0
